"","type","floor5x","dwage9x","count","countsamp","conf"
"152","Ground floor purpose built flat, low rise","50 to 69 sqm","1919 to 1944",43843,29,1511.8275862069
"2765","Ground floor purpose built flat, low rise","70 to 89 sqm","1919 to 1944",4543,3,1514.33333333333
"4477","Ground floor purpose built flat, low rise","90 to 109 sqm","1919 to 1944",5401,2,2700.5
"10711","Ground floor purpose built flat, low rise","110 sqm or more","1919 to 1944",750,1,750
"163","Ground floor purpose built flat, low rise","less than 50 sqm","1945 to 1964",97020,109,890.091743119266
"80","Ground floor purpose built flat, low rise","50 to 69 sqm","1945 to 1964",121357,130,933.515384615385
"120","Ground floor purpose built flat, low rise","70 to 89 sqm","1945 to 1964",44527,31,1436.35483870968
"1005","Ground floor purpose built flat, low rise","90 to 109 sqm","1945 to 1964",5146,4,1286.5
"37","Ground floor purpose built flat, low rise","less than 50 sqm","1965 to 1974",98539,97,1015.86597938144
"81","Ground floor purpose built flat, low rise","50 to 69 sqm","1965 to 1974",89396,87,1027.54022988506
"107","Ground floor purpose built flat, low rise","70 to 89 sqm","1965 to 1974",36382,34,1070.05882352941
"3296","Ground floor purpose built flat, low rise","90 to 109 sqm","1965 to 1974",3629,5,725.8
"5614","Ground floor purpose built flat, low rise","110 sqm or more","1965 to 1974",2657,2,1328.5
"17","Ground floor purpose built flat, low rise","less than 50 sqm","1975 to 1980",70337,63,1116.46031746032
"13","Ground floor purpose built flat, low rise","50 to 69 sqm","1975 to 1980",34779,36,966.083333333333
"442","Ground floor purpose built flat, low rise","70 to 89 sqm","1975 to 1980",8012,9,890.222222222222
"6969","Ground floor purpose built flat, low rise","110 sqm or more","1975 to 1980",536,1,536
"95","Ground floor purpose built flat, low rise","less than 50 sqm","1981 to 1990",129171,98,1318.07142857143
"171","Ground floor purpose built flat, low rise","50 to 69 sqm","1981 to 1990",64861,47,1380.02127659574
"10707","Ground floor purpose built flat, low rise","70 to 89 sqm","1981 to 1990",3555,3,1185
"1124","Ground floor purpose built flat, low rise","90 to 109 sqm","1981 to 1990",5062,3,1687.33333333333
"5618","Ground floor purpose built flat, low rise","110 sqm or more","1981 to 1990",2397,1,2397
"197","Ground floor purpose built flat, low rise","less than 50 sqm","post 1990",101300,67,1511.94029850746
"97","Ground floor purpose built flat, low rise","50 to 69 sqm","post 1990",143683,77,1866.01298701299
"837","Ground floor purpose built flat, low rise","70 to 89 sqm","post 1990",37236,17,2190.35294117647
"6139","Ground floor purpose built flat, low rise","90 to 109 sqm","post 1990",1474,2,737
"1820","Ground floor purpose built flat, low rise","110 sqm or more","post 1990",5939,2,2969.5
"309","Mid Floor converted flat","less than 50 sqm","pre 1850",9637,6,1606.16666666667
"509","Mid Floor converted flat","50 to 69 sqm","pre 1850",2851,2,1425.5
"3206","Mid Floor converted flat","70 to 89 sqm","pre 1850",1720,1,1720
"5933","Mid Floor converted flat","90 to 109 sqm","pre 1850",1170,1,1170
"4781","Mid Floor converted flat","110 sqm or more","pre 1850",5151,1,5151
"348","Mid Floor converted flat","less than 50 sqm","1850 to 1899",41587,26,1599.5
"601","Mid Floor converted flat","50 to 69 sqm","1850 to 1899",43579,13,3352.23076923077
"350","Mid Floor converted flat","70 to 89 sqm","1850 to 1899",10186,8,1273.25
"5173","Mid Floor converted flat","90 to 109 sqm","1850 to 1899",7418,1,7418
"2496","Mid Floor converted flat","110 sqm or more","1850 to 1899",7476,3,2492
"1353","Mid Floor converted flat","less than 50 sqm","1900 to 1918",16338,12,1361.5
"4391","Mid Floor converted flat","50 to 69 sqm","1900 to 1918",10002,7,1428.85714285714
"7577","Mid Floor converted flat","70 to 89 sqm","1900 to 1918",2378,2,1189
"1113","Mid Floor converted flat","90 to 109 sqm","1900 to 1918",2970,1,2970
"5613","Mid Floor converted flat","110 sqm or more","1900 to 1918",8933,2,4466.5
"11385","Mid Floor converted flat","less than 50 sqm","1919 to 1944",1660,1,1660
"656","Mid Floor converted flat","50 to 69 sqm","1919 to 1944",4262,3,1420.66666666667
"2549","Mid Floor converted flat","less than 50 sqm","1945 to 1964",7255,2,3627.5
